2   1.20767429e+03   5.25851053e-02   2.13108490e-06   3.67552618e+00
3   2.28077465e+03   1.64588358e-01   8.52559368e-06   8.93034244e+00
4   3.58017382e+03   2.94500425e-01   2.36868322e-05   1.49727126e+01
5   5.11334850e+03   3.71525328e-01   5.33083254e-05   2.04331489e+01
6   6.90072529e+03   3.61756879e-01   1.04514607e-04   2.44734767e+01
7   8.96874004e+03   2.89270418e-01   1.85866135e-04   2.68197178e+01
8   1.13391325e+04   2.08679810e-01   3.07365036e-04   2.77004434e+01
9   1.40368988e+04   1.62341596e-01   4.80461574e-04   2.76412696e+01
10   1.70868393e+04   1.57403488e-01   7.18061263e-04   2.74189384e+01
11   2.05013923e+04   1.73458579e-01   1.03453252e-03   2.79412280e+01
12   2.43335210e+04   1.86828650e-01   1.44571471e-03   3.00918304e+01
13   2.85651024e+04   1.89112014e-01   1.96892655e-03   3.43002931e+01
14   3.32222059e+04   1.89120291e-01   2.62297457e-03   4.04672986e+01
15   3.82841162e+04   2.01323461e-01   3.42816177e-03   4.84776251e+01
16   4.38520441e+04   2.32934389e-01   4.40629605e-03   5.83126061e+01
17   4.99617668e+04   2.80110180e-01   5.58069848e-03   6.96300351e+01
18   5.65862066e+04   3.34859174e-01   6.97621123e-03   8.19690307e+01
19   6.37996271e+04   3.97088352e-01   8.61920508e-03   9.52407891e+01
20   7.15249655e+04   4.70109158e-01   1.05375862e-02   1.08914516e+02
21   7.98286004e+04   5.65594202e-01   1.27608022e-02   1.23481212e+02
22   8.87388294e+04   6.99468223e-01   1.53198481e-02   1.39411151e+02
23   9.82444880e+04   8.77657970e-01   1.82472698e-02   1.57013258e+02
24   1.08396024e+05   1.10340971e+00   2.15771686e-02   1.76552775e+02
25   1.19234492e+05   1.38123986e+00   2.53452032e-02   1.97696617e+02
26   1.30730147e+05   1.71687824e+00   2.95885911e-02   2.21164694e+02
27   1.42955533e+05   2.11725536e+00   3.43461094e-02   2.46824876e+02
28   1.55917264e+05   2.58743610e+00   3.96580932e-02   2.73538729e+02
29   1.69629670e+05   3.13651984e+00   4.55664345e-02   3.01554685e+02
30   1.84149426e+05   3.77420920e+00   5.21145791e-02   3.29323872e+02
31   1.99405410e+05   4.50355875e+00   5.93475216e-02   3.57702027e+02
32   2.15561255e+05   5.33261626e+00   6.73118019e-02   3.85013806e+02
33   2.32551477e+05   6.27114775e+00   7.60554978e-02   4.10611423e+02
34   2.50390887e+05   7.34456159e+00   8.56282187e-02   4.34664075e+02
35   2.69225532e+05   8.56999827e+00   9.60810980e-02   4.55919670e+02
