    66    0.16567E+04    0.25398E+00   -0.39340E+01    0.51763E+07    0.97776E+04
    67    0.16790E+04    0.26516E+00   -0.43106E+01    0.51484E+07    0.95859E+04
    68    0.17015E+04    0.27656E+00   -0.46982E+01    0.51203E+07    0.93982E+04
    69    0.17242E+04    0.28816E+00   -0.50960E+01    0.50920E+07    0.92162E+04
    70    0.17470E+04    0.29997E+00   -0.55034E+01    0.50636E+07    0.90415E+04
    71    0.17699E+04    0.31197E+00   -0.59202E+01    0.50351E+07    0.88756E+04
    72    0.17932E+04    0.32418E+00   -0.63474E+01    0.50065E+07    0.87175E+04
    73    0.18167E+04    0.33659E+00   -0.67859E+01    0.49778E+07    0.85662E+04
    74    0.18406E+04    0.34919E+00   -0.72357E+01    0.49490E+07    0.84204E+04
    75    0.18648E+04    0.36197E+00   -0.76976E+01    0.49201E+07    0.82789E+04
    76    0.18893E+04    0.37490E+00   -0.81706E+01    0.48911E+07    0.81406E+04
    77    0.19140E+04    0.38798E+00   -0.86530E+01    0.48621E+07    0.80048E+04
    78    0.19388E+04    0.40120E+00   -0.91462E+01    0.48330E+07    0.78708E+04
    79    0.19638E+04    0.41455E+00   -0.96482E+01    0.48039E+07    0.77380E+04
    80    0.19890E+04    0.42803E+00   -0.10159E+02    0.47748E+07    0.76059E+04
    81    0.20145E+04    0.44160E+00   -0.10679E+02    0.47456E+07    0.74740E+04
    82    0.20401E+04    0.45529E+00   -0.11207E+02    0.47165E+07    0.73428E+04
    83    0.20660E+04    0.46907E+00   -0.11745E+02    0.46875E+07    0.72132E+04
    84    0.20922E+04    0.48292E+00   -0.12288E+02    0.46585E+07    0.70860E+04
    85    0.21186E+04    0.49684E+00   -0.12839E+02    0.46296E+07    0.69620E+04
    86    0.21453E+04    0.51083E+00   -0.13397E+02    0.46007E+07    0.68417E+04
    87    0.21721E+04    0.52486E+00   -0.13960E+02    0.45719E+07    0.67251E+04
    88    0.21991E+04    0.53892E+00   -0.14528E+02    0.45432E+07    0.66118E+04
    89    0.22264E+04    0.55301E+00   -0.15102E+02    0.45147E+07    0.65018E+04
    90    0.22538E+04    0.56710E+00   -0.15680E+02    0.44862E+07    0.63945E+04
    91    0.22814E+04    0.58119E+00   -0.16263E+02    0.44578E+07    0.62899E+04
    92    0.23092E+04    0.59526E+00   -0.16851E+02    0.44296E+07    0.61878E+04
    93    0.23371E+04    0.60930E+00   -0.17442E+02    0.44014E+07    0.60881E+04
    94    0.23653E+04    0.62330E+00   -0.18038E+02    0.43734E+07    0.59908E+04
    95    0.23937E+04    0.63724E+00   -0.18637E+02    0.43455E+07    0.58958E+04
    96    0.24222E+04    0.65111E+00   -0.19241E+02    0.43178E+07    0.58030E+04
    97    0.24509E+04    0.66491E+00   -0.19846E+02    0.42901E+07    0.57123E+04
    98    0.24799E+04    0.67860E+00   -0.20454E+02    0.42626E+07    0.56237E+04
    99    0.25090E+04    0.69219E+00   -0.21064E+02    0.42353E+07    0.55370E+04
   100    0.25384E+04    0.70565E+00   -0.21674E+02    0.42080E+07    0.54523E+04
   101    0.25680E+04    0.71901E+00   -0.22287E+02    0.41810E+07    0.53694E+04
   102    0.25977E+04    0.73217E+00   -0.22898E+02    0.41540E+07    0.52883E+04
   103    0.26277E+04    0.74519E+00   -0.23510E+02    0.41273E+07    0.52089E+04
   104    0.26578E+04    0.75800E+00   -0.24121E+02    0.41006E+07    0.51312E+04
   105    0.26881E+04    0.77069E+00   -0.24730E+02    0.40742E+07    0.50549E+04
   106    0.27186E+04    0.78316E+00   -0.25338E+02    0.40479E+07    0.49801E+04
   107    0.27492E+04    0.79536E+00   -0.25943E+02    0.40217E+07    0.49068E+04
   108    0.27801E+04    0.80743E+00   -0.26546E+02    0.39957E+07    0.48347E+04
   109    0.28110E+04    0.81922E+00   -0.27145E+02    0.39699E+07    0.47639E+04
   110    0.28422E+04    0.83074E+00   -0.27740E+02    0.39443E+07    0.46943E+04
   111    0.28734E+04    0.84205E+00   -0.28330E+02    0.39188E+07    0.46258E+04
   112    0.29048E+04    0.85302E+00   -0.28916E+02    0.38935E+07    0.45584E+04
   113    0.29363E+04    0.86379E+00   -0.29496E+02    0.38684E+07    0.44921E+04
   114    0.29679E+04    0.87421E+00   -0.30070E+02    0.38435E+07    0.44269E+04
   115    0.29997E+04    0.88435E+00   -0.30638E+02    0.38187E+07    0.43627E+04
   116    0.30316E+04    0.89415E+00   -0.31199E+02    0.37942E+07    0.42996E+04
   117    0.30635E+04    0.90360E+00   -0.31752E+02    0.37698E+07    0.42376E+04
   118    0.30956E+04    0.91278E+00   -0.32298E+02    0.37455E+07    0.41766E+04
   119    0.31277E+04    0.92161E+00   -0.32835E+02    0.37215E+07    0.41166E+04
   120    0.31600E+04    0.93001E+00   -0.33363E+02    0.36976E+07    0.40577E+04
   121    0.31923E+04    0.93815E+00   -0.33882E+02    0.36739E+07    0.39998E+04
   122    0.32246E+04    0.94586E+00   -0.34390E+02    0.36504E+07    0.39429E+04
   123    0.32570E+04    0.95315E+00   -0.34889E+02    0.36270E+07    0.38870E+04
   124    0.32895E+04    0.96010E+00   -0.35376E+02    0.36039E+07    0.38321E+04
   125    0.33220E+04    0.96662E+00   -0.35851E+02    0.35809E+07    0.37782E+04
   126    0.33545E+04    0.97280E+00   -0.36314E+02    0.35581E+07    0.37253E+04
   127    0.33870E+04    0.97848E+00   -0.36766E+02    0.35355E+07    0.36734E+04
   128    0.34196E+04    0.98382E+00   -0.37204E+02    0.35130E+07    0.36224E+04
   129    0.34521E+04    0.98866E+00   -0.37629E+02    0.34907E+07    0.35724E+04
   130    0.34847E+04    0.99308E+00   -0.38039E+02    0.34686E+07    0.35233E+04
   131    0.35172E+04    0.99708E+00   -0.38435E+02    0.34467E+07    0.34752E+04
   132    0.35497E+04    0.10007E+01   -0.38816E+02    0.34250E+07    0.34280E+04
   133    0.35822E+04    0.10038E+01   -0.39183E+02    0.34034E+07    0.33818E+04
   134    0.36146E+04    0.10065E+01   -0.39533E+02    0.33820E+07    0.33364E+04
   135    0.36471E+04    0.10087E+01   -0.39866E+02    0.33608E+07    0.32919E+04
   136    0.36794E+04    0.10105E+01   -0.40183E+02    0.33397E+07    0.32482E+04
   137    0.37116E+04    0.10118E+01   -0.40483E+02    0.33189E+07    0.32054E+04
   138    0.37439E+04    0.10127E+01   -0.40765E+02    0.32981E+07    0.31635E+04
   139    0.37759E+04    0.10132E+01   -0.41029E+02    0.32776E+07    0.31223E+04
   140    0.38079E+04    0.10132E+01   -0.41274E+02    0.32572E+07    0.30820E+04
   141    0.38398E+04    0.10127E+01   -0.41500E+02    0.32370E+07    0.30424E+04
   142    0.38716E+04    0.10118E+01   -0.41707E+02    0.32170E+07    0.30036E+04
   143    0.39033E+04    0.10104E+01   -0.41894E+02    0.31971E+07    0.29655E+04
